PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
0.0717585,5.10418,0.0208333,0,5.10422,0,0,1
0.078167,5.10418,0.0218125,0,5.10422,0.000979166,1,1
0.0845756,5.10418,0.0227917,0,5.10423,0.00195833,2,1
0.0909841,5.10418,0.0237708,0,5.10423,0.0029375,3,1
0.0973927,5.10418,0.02475,0,5.10424,0.00391667,4,1
0.103801,5.10418,0.0257292,0,5.10424,0.00489583,5,1
0.11021,5.10418,0.0267083,0,5.10424,0.005875,6,1
0.116618,5.10418,0.0276875,0,5.10425,0.00685417,7,1
0.123027,5.10418,0.0286667,0,5.10426,0.00783333,8,1
0.129435,5.10418,0.0296458,0,5.10426,0.0088125,9,1
0.135844,5.10418,0.030625,0,5.10427,0.00979167,10,1
0.142253,5.10418,0.0316042,0,5.10427,0.0107708,11,1
0.148661,5.10418,0.0325833,0,5.10428,0.01175,12,1
0.15507,5.10418,0.0335625,0,5.10429,0.0127292,13,1
0.161478,5.10418,0.0345417,0,5.10429,0.0137083,14,1
0.167887,5.10418,0.0355208,0,5.1043,0.0146875,15,1
0.174295,5.10418,0.0365,0,5.10431,0.0156667,16,1
0.180704,5.10418,0.0374792,0,5.10431,0.0166458,17,1
0.187112,5.10418,0.0384583,0,5.10432,0.017625,18,1
0.193521,5.10418,0.0394375,0,5.10433,0.0186042,19,1
0.19993,5.10418,0.0404167,0,5.10433,0.0195833,20,1
0.206338,5.10418,0.0413958,0,5.10434,0.0205625,21,1
0.2125,5.10418,0.042375,0,5.10435,0.0215417,22,1
0.218568,5.10418,0.0433542,0,5.10436,0.0225208,23,1
0.224635,5.10418,0.0443333,0,5.10437,0.0235,24,1
0.230703,5.10418,0.0453125,0,5.10438,0.0244792,25,1
0.236771,5.10418,0.0462917,0,5.10438,0.0254583,26,1
0.242838,5.10418,0.0472708,0,5.10439,0.0264375,27,1
0.248906,5.10418,0.04825,0,5.1044,0.0274167,28,1
0.254974,5.10418,0.0492292,0,5.10441,0.0283958,29,1
0.261041,5.10418,0.0502083,0,5.10442,0.029375,30,1
0.267109,5.10418,0.0511875,0,5.10443,0.0303542,31,1
0.273177,5.10418,0.0521667,0,5.10444,0.0313333,32,1
0.279244,5.10418,0.0531458,0,5.10445,0.0323125,33,1
0.285312,5.10418,0.054125,0,5.10446,0.0332917,34,1
0.29138,5.10418,0.0551042,0,5.10447,0.0342708,35,1
0.297447,5.10418,0.0560833,0,5.10448,0.03525,36,1
0.303515,5.10418,0.0570625,0,5.10449,0.0362292,37,1
0.309583,5.10418,0.0580417,0,5.10451,0.0372083,38,1
0.31565,5.10418,0.0590208,0,5.10452,0.0381875,39,1
0.321718,5.10418,0.06,0,5.10453,0.0391667,40,1
0.327786,5.10418,0.0609792,0,5.10454,0.0401458,41,1
0.333853,5.10418,0.0619583,0,5.10455,0.041125,42,1
0.339765,5.10418,0.0629375,0,5.10456,0.0421042,43,1
0.345485,5.10418,0.0639167,0,5.10458,0.0430833,44,1
0.351204,5.10418,0.0648958,0,5.10459,0.0440625,45,1
0.356923,5.10418,0.065875,0,5.1046,0.0450417,46,1
0.362642,5.10418,0.0668542,0,5.10461,0.0460208,47,1
0.368362,5.10418,0.0678333,0,5.10463,0.047,48,1
0.374081,5.10418,0.0688125,0,5.10464,0.0479792,49,1
0.3798,5.10418,0.0697917,0,5.10465,0.0489583,50,1
0.38552,5.10418,0.0707708,0,5.10467,0.0499375,51,1
0.391239,5.10418,0.07175,0,5.10468,0.0509167,52,1
0.396958,5.10418,0.0727292,0,5.10469,0.0518958,53,1
0.402678,5.10418,0.0737083,0,5.10471,0.052875,54,1
0.408397,5.10418,0.0746875,0,5.10472,0.0538542,55,1
0.414116,5.10418,0.0756667,0,5.10474,0.0548333,56,1
0.419835,5.10418,0.0766458,0,5.10475,0.0558125,57,1
0.425555,5.10418,0.077625,0,5.10477,0.0567917,58,1
0.431274,5.10418,0.0786042,0,5.10478,0.0577708,59,1
0.436993,5.10418,0.0795833,0,5.1048,0.05875,60,1
0.442713,5.10418,0.0805625,0,5.10481,0.0597292,61,1
0.448432,5.10418,0.0815417,0,5.10483,0.0607083,62,1
0.454151,5.10418,0.0825208,0,5.10484,0.0616875,63,1
0.45981,5.10418,0.0835,0,5.10486,0.0626667,64,1
0.465171,5.10418,0.0844792,0,5.10487,0.0636458,65,1
0.470532,5.10418,0.0854583,0,5.10489,0.064625,66,1
0.475893,5.10418,0.0864375,0,5.10491,0.0656042,67,1
0.481255,5.10418,0.0874167,0,5.10492,0.0665833,68,1
0.486616,5.10418,0.0883958,0,5.10494,0.0675625,69,1
0.491977,5.10418,0.089375,0,5.10496,0.0685417,70,1
0.497339,5.10418,0.0903542,0,5.10497,0.0695208,71,1
0.5027,5.10418,0.0913333,0,5.10499,0.0705,72,1
0.508061,5.10418,0.0923125,0,5.10501,0.0714792,73,1
0.513423,5.10418,0.0932917,0,5.10503,0.0724583,74,1
0.518784,5.10418,0.0942708,0,5.10505,0.0734375,75,1
0.524145,5.10418,0.09525,0,5.10506,0.0744167,76,1
