PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
0.10688,0.99,0.02083,0,0.990219,0,0,1
0.11712,0.99,0.0219092,0,0.990242,0.00107917,1,1
0.12736,0.99,0.0229883,0,0.990267,0.00215834,2,1
0.137599,0.99,0.0240675,0,0.990293,0.00323751,3,1
0.147839,0.99,0.0251467,0,0.990319,0.00431668,4,1
0.158079,0.99,0.0262258,0,0.990347,0.00539585,5,1
0.168319,0.99,0.027305,0,0.990376,0.00647502,6,1
0.178559,0.99,0.0283842,0,0.990407,0.00755419,7,1
0.188798,0.99,0.0294634,0,0.990438,0.00863336,8,1
0.199038,0.99,0.0305425,0,0.990471,0.00971253,9,1
0.209278,0.99,0.0316217,0,0.990505,0.0107917,10,1
0.219518,0.99,0.0327009,0,0.99054,0.0118709,11,1
0.229758,0.99,0.03378,0,0.990576,0.01295,12,1
0.239997,0.99,0.0348592,0,0.990614,0.0140292,13,1
0.250237,0.99,0.0359384,0,0.990652,0.0151084,14,1
0.260477,0.99,0.0370176,0,0.990692,0.0161876,15,1
0.270717,0.99,0.0380967,0,0.990733,0.0172667,16,1
0.280957,0.99,0.0391759,0,0.990775,0.0183459,17,1
0.291196,0.99,0.0402551,0,0.990818,0.0194251,18,1
0.301436,0.99,0.0413342,0,0.990863,0.0205042,19,1
0.310989,0.99,0.0424134,0,0.990908,0.0215834,20,1
0.320236,0.99,0.0434926,0,0.990955,0.0226626,21,1
0.329483,0.99,0.0445717,0,0.991003,0.0237417,22,1
0.33873,0.99,0.0456509,0,0.991052,0.0248209,23,1
0.347976,0.99,0.0467301,0,0.991102,0.0259001,24,1
0.357223,0.99,0.0478093,0,0.991154,0.0269793,25,1
0.36647,0.99,0.0488884,0,0.991206,0.0280584,26,1
0.375717,0.99,0.0499676,0,0.99126,0.0291376,27,1
0.384964,0.99,0.0510468,0,0.991315,0.0302168,28,1
0.394211,0.99,0.0521259,0,0.991371,0.0312959,29,1
0.403458,0.99,0.0532051,0,0.991429,0.0323751,30,1
0.412705,0.99,0.0542843,0,0.991487,0.0334543,31,1
0.421952,0.99,0.0553634,0,0.991547,0.0345334,32,1
0.431198,0.99,0.0564426,0,0.991608,0.0356126,33,1
0.440445,0.99,0.0575218,0,0.99167,0.0366918,34,1
0.449692,0.99,0.058601,0,0.991733,0.0377709,35,1
0.458939,0.99,0.0596801,0,0.991797,0.0388501,36,1
0.468186,0.99,0.0607593,0,0.991863,0.0399293,37,1
0.477433,0.99,0.0618385,0,0.991929,0.0410085,38,1
0.486242,0.99,0.0629176,0,0.991997,0.0420876,39,1
0.494359,0.99,0.0639968,0,0.992066,0.0431668,40,1
0.502476,0.99,0.065076,0,0.992137,0.044246,41,1
0.510592,0.99,0.0661551,0,0.992208,0.0453251,42,1
0.518709,0.99,0.0672343,0,0.99228,0.0464043,43,1
0.526826,0.99,0.0683135,0,0.992354,0.0474835,44,1
0.534943,0.99,0.0693927,0,0.992429,0.0485627,45,1
0.543059,0.99,0.0704718,0,0.992505,0.0496418,46,1
0.551176,0.99,0.071551,0,0.992582,0.050721,47,1
0.559293,0.99,0.0726302,0,0.992661,0.0518002,48,1
0.567409,0.99,0.0737093,0,0.99274,0.0528793,49,1
0.575526,0.99,0.0747885,0,0.992821,0.0539585,50,1
0.583643,0.99,0.0758677,0,0.992903,0.0550377,51,1
0.591759,0.99,0.0769468,0,0.992986,0.0561168,52,1
0.599876,0.99,0.078026,0,0.99307,0.057196,53,1
0.607993,0.99,0.0791052,0,0.993155,0.0582752,54,1
0.616109,0.99,0.0801843,0,0.993242,0.0593543,55,1
0.624226,0.99,0.0812635,0,0.99333,0.0604335,56,1
0.632343,0.99,0.0823427,0,0.993419,0.0615127,57,1
0.640361,0.99,0.0834219,0,0.993509,0.0625919,58,1
0.647282,0.99,0.084501,0,0.9936,0.063671,59,1
0.654203,0.99,0.0855802,0,0.993692,0.0647502,60,1
0.661124,0.99,0.0866594,0,0.993786,0.0658294,61,1
0.668045,0.99,0.0877385,0,0.99388,0.0669085,62,1
0.674966,0.99,0.0888177,0,0.993976,0.0679877,63,1
0.681887,0.99,0.0898969,0,0.994073,0.0690669,64,1
0.688808,0.99,0.0909761,0,0.994171,0.0701461,65,1
0.695729,0.99,0.0920552,0,0.994271,0.0712252,66,1
0.70265,0.99,0.0931344,0,0.994371,0.0723044,67,1
0.709571,0.99,0.0942136,0,0.994473,0.0733836,68,1
0.716492,0.99,0.0952927,0,0.994576,0.0744627,69,1
0.723413,0.99,0.0963719,0,0.99468,0.0755419,70,1
0.730334,0.99,0.0974511,0,0.994785,0.0766211,71,1
0.737255,0.99,0.0985302,0,0.994891,0.0777002,72,1
0.744176,0.99,0.0996094,0,0.994999,0.0787794,73,1
0.751097,0.99,0.100689,0,0.995107,0.0798586,74,1
0.758018,0.99,0.101768,0,0.995217,0.0809378,75,1
0.764939,0.99,0.102847,0,0.995328,0.0820169,76,1
0.77186,0.99,0.103926,0,0.99544,0.0830961,77,1
0.777858,0.99,0.105005,0,0.995553,0.0841753,78,1
0.783591,0.99,0.106084,0,0.995668,0.0852544,79,1
0.789324,0.99,0.107164,0,0.995783,0.0863336,80,1
0.795057,0.99,0.108243,0,0.9959,0.0874128,81,1
0.80079,0.99,0.109322,0,0.996018,0.0884919,82,1
0.806523,0.99,0.110401,0,0.996137,0.0895711,83,1
0.812256,0.99,0.11148,0,0.996257,0.0906503,84,1
0.817989,0.99,0.112559,0,0.996378,0.0917295,85,1
0.823722,0.99,0.113639,0,0.996501,0.0928086,86,1
0.829455,0.99,0.114718,0,0.996624,0.0938878,87,1
0.835188,0.99,0.115797,0,0.996749,0.094967,88,1
0.840921,0.99,0.116876,0,0.996875,0.0960461,89,1
0.846654,0.99,0.117955,0,0.997002,0.0971253,90,1
0.852387,0.99,0.119034,0,0.997131,0.0982045,91,1
0.85812,0.99,0.120114,0,0.99726,0.0992836,92,1
0.863853,0.99,0.121193,0,0.99739,0.100363,93,1
0.869586,0.99,0.122272,0,0.997522,0.101442,94,1
0.875319,0.99,0.123351,0,0.997655,0.102521,95,1
0.881052,0.99,0.12443,0,0.997789,0.1036,96,1
