PHI,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Point ID,vtkValidPointMask
0.0830382,2.552,0.0208333,0,2.55209,0,0,1
0.0904087,2.552,0.0218125,0,2.55209,0.000979168,1,1
0.0977792,2.552,0.0227917,0,2.5521,0.00195833,2,1
0.10515,2.552,0.0237708,0,2.55211,0.0029375,3,1
0.11252,2.552,0.02475,0,2.55212,0.00391667,4,1
0.119891,2.552,0.0257292,0,2.55213,0.00489583,5,1
0.127261,2.552,0.0267083,0,2.55214,0.005875,6,1
0.134632,2.552,0.0276875,0,2.55215,0.00685417,7,1
0.142002,2.552,0.0286667,0,2.55216,0.00783333,8,1
0.149373,2.552,0.0296458,0,2.55217,0.0088125,9,1
0.156743,2.552,0.030625,0,2.55218,0.00979167,10,1
0.164114,2.552,0.0316042,0,2.5522,0.0107708,11,1
0.171484,2.552,0.0325833,0,2.55221,0.01175,12,1
0.178855,2.552,0.0335625,0,2.55222,0.0127292,13,1
0.186225,2.552,0.0345417,0,2.55223,0.0137083,14,1
0.193596,2.552,0.0355208,0,2.55225,0.0146875,15,1
0.200966,2.552,0.0365,0,2.55226,0.0156667,16,1
0.208337,2.552,0.0374792,0,2.55228,0.0166458,17,1
0.215707,2.552,0.0384583,0,2.55229,0.017625,18,1
0.223078,2.552,0.0394375,0,2.5523,0.0186042,19,1
0.230448,2.552,0.0404167,0,2.55232,0.0195833,20,1
0.237819,2.552,0.0413958,0,2.55234,0.0205625,21,1
0.244864,2.552,0.042375,0,2.55235,0.0215417,22,1
0.251784,2.552,0.0433542,0,2.55237,0.0225208,23,1
0.258704,2.552,0.0443333,0,2.55239,0.0235,24,1
0.265624,2.552,0.0453125,0,2.5524,0.0244792,25,1
0.272545,2.552,0.0462917,0,2.55242,0.0254583,26,1
0.279465,2.552,0.0472708,0,2.55244,0.0264375,27,1
0.286385,2.552,0.04825,0,2.55246,0.0274167,28,1
0.293305,2.552,0.0492292,0,2.55247,0.0283958,29,1
0.300225,2.552,0.0502083,0,2.55249,0.029375,30,1
0.307146,2.552,0.0511875,0,2.55251,0.0303542,31,1
0.314066,2.552,0.0521667,0,2.55253,0.0313333,32,1
0.320986,2.552,0.0531458,0,2.55255,0.0323125,33,1
0.327906,2.552,0.054125,0,2.55257,0.0332917,34,1
0.334826,2.552,0.0551042,0,2.55259,0.0342708,35,1
0.341747,2.552,0.0560833,0,2.55262,0.03525,36,1
0.348667,2.552,0.0570625,0,2.55264,0.0362292,37,1
0.355587,2.552,0.0580417,0,2.55266,0.0372083,38,1
0.362507,2.552,0.0590208,0,2.55268,0.0381875,39,1
0.369428,2.552,0.06,0,2.55271,0.0391667,40,1
0.376348,2.552,0.0609792,0,2.55273,0.0401458,41,1
0.383268,2.552,0.0619583,0,2.55275,0.041125,42,1
0.389975,2.552,0.0629375,0,2.55278,0.0421042,43,1
0.396419,2.552,0.0639167,0,2.5528,0.0430833,44,1
0.402862,2.552,0.0648958,0,2.55282,0.0440625,45,1
0.409305,2.552,0.065875,0,2.55285,0.0450417,46,1
0.415749,2.552,0.0668542,0,2.55288,0.0460208,47,1
0.422192,2.552,0.0678333,0,2.5529,0.047,48,1
0.428635,2.552,0.0688125,0,2.55293,0.0479792,49,1
0.435079,2.552,0.0697917,0,2.55295,0.0489583,50,1
0.441522,2.552,0.0707708,0,2.55298,0.0499375,51,1
0.447965,2.552,0.07175,0,2.55301,0.0509167,52,1
0.454409,2.552,0.0727292,0,2.55304,0.0518958,53,1
0.460852,2.552,0.0737083,0,2.55306,0.052875,54,1
0.467295,2.552,0.0746875,0,2.55309,0.0538542,55,1
0.473739,2.552,0.0756667,0,2.55312,0.0548333,56,1
0.480182,2.552,0.0766458,0,2.55315,0.0558125,57,1
0.486625,2.552,0.077625,0,2.55318,0.0567917,58,1
0.493069,2.552,0.0786042,0,2.55321,0.0577708,59,1
0.499512,2.552,0.0795833,0,2.55324,0.05875,60,1
0.505956,2.552,0.0805625,0,2.55327,0.0597292,61,1
0.512399,2.552,0.0815417,0,2.5533,0.0607083,62,1
0.518842,2.552,0.0825208,0,2.55333,0.0616875,63,1
0.525199,2.552,0.0835,0,2.55337,0.0626667,64,1
0.531131,2.552,0.0844792,0,2.5534,0.0636458,65,1
0.537063,2.552,0.0854583,0,2.55343,0.064625,66,1
0.542995,2.552,0.0864375,0,2.55346,0.0656042,67,1
0.548927,2.552,0.0874167,0,2.5535,0.0665833,68,1
0.554859,2.552,0.0883958,0,2.55353,0.0675625,69,1
